,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
12898,1982-03-04,China PR,Uruguay,0,2,Nehru Cup,Calcutta,India,True
13195,1982-11-20,North Korea,Syria,1,1,Asian Games,New Delhi,India,True
13196,1982-11-20,Saudi Arabia,Thailand,1,0,Asian Games,New Delhi,India,True
13197,1982-11-20,China,Malaysia,1,0,Asian Games,New Delhi,India,True
13198,1982-11-20,India,Bangladesh,2,0,Asian Games,New Delhi,India,False
13200,1982-11-21,Kuwait,Nepal,3,1,Asian Games,New Delhi,India,True
13201,1982-11-21,Iraq,Myanmar,4,0,Asian Games,New Delhi,India,True
13202,1982-11-21,Japan,Iran,1,0,Asian Games,New Delhi,India,True
13203,1982-11-21,South Korea,South Yemen,3,0,Asian Games,New Delhi,India,True
13204,1982-11-22,North Korea,Thailand,3,0,Asian Games,New Delhi,India,True
13205,1982-11-22,Saudi Arabia,Syria,1,1,Asian Games,New Delhi,India,True
13206,1982-11-22,India,Malaysia,1,0,Asian Games,New Delhi,India,False
13207,1982-11-22,China,Bangladesh,1,0,Asian Games,New Delhi,India,True
13208,1982-11-23,Kuwait,Myanmar,4,0,Asian Games,New Delhi,India,True
13209,1982-11-23,Iraq,Nepal,3,0,Asian Games,New Delhi,India,True
13210,1982-11-23,South Korea,Iran,0,1,Asian Games,New Delhi,India,True
13211,1982-11-23,Japan,South Yemen,3,1,Asian Games,New Delhi,India,True
13214,1982-11-24,North Korea,Saudi Arabia,2,2,Asian Games,New Delhi,India,True
13215,1982-11-24,Thailand,Syria,3,1,Asian Games,New Delhi,India,True
13216,1982-11-24,India,China,2,2,Asian Games,New Delhi,India,False
13217,1982-11-24,Malaysia,Bangladesh,1,2,Asian Games,New Delhi,India,True
13218,1982-11-25,Iraq,Kuwait,1,2,Asian Games,New Delhi,India,True
13219,1982-11-25,Myanmar,Nepal,3,0,Asian Games,New Delhi,India,True
13220,1982-11-25,South Korea,Japan,1,2,Asian Games,New Delhi,India,True
13221,1982-11-25,Iran,South Yemen,2,0,Asian Games,New Delhi,India,True
13224,1982-11-27,North Korea,China,1,0,Asian Games,New Delhi,India,True
13225,1982-11-27,India,Saudi Arabia,0,1,Asian Games,New Delhi,India,False
13229,1982-11-28,Japan,Iraq,0,1,Asian Games,New Delhi,India,True
13230,1982-11-28,Kuwait,Iran,1,0,Asian Games,New Delhi,India,True
13231,1982-11-30,North Korea,Kuwait,2,3,Asian Games,New Delhi,India,True
13233,1982-12-01,Saudi Arabia,Iraq,0,1,Asian Games,New Delhi,India,True
13234,1982-12-02,North Korea,Saudi Arabia,0,2,Asian Games,New Delhi,India,True
13235,1982-12-03,Kuwait,Iraq,0,1,Asian Games,New Delhi,India,True
13718,1984-01-11,India,Poland,1,2,Nehru Cup,Calcutta,India,False
13719,1984-01-14,India,Argentina,0,1,Nehru Cup,Calcutta,India,False
13720,1984-01-15,China PR,Poland,0,1,Nehru Cup,Calcutta,India,True
13722,1984-01-17,Argentina,Poland,1,1,Nehru Cup,Calcutta,India,True
13726,1984-01-20,Argentina,China PR,0,1,Nehru Cup,Calcutta,India,True
13730,1984-01-25,India,China PR,0,3,Nehru Cup,Calcutta,India,False
13731,1984-01-27,China PR,Poland,0,1,Nehru Cup,Calcutta,India,True
14055,1984-10-10,South Korea,Yemen,6,0,AFC Asian Cup qualification,Calcutta,India,True
14060,1984-10-11,Malaysia,Pakistan,5,0,AFC Asian Cup qualification,Calcutta,India,True
